date,exchange,project,price_usd,price_orig,price_orig_symb,token_id,seller,buyer,tx_hash,used
2021-01-05 00:00:00+00:00,DCL MarketPlace,Decentraland,748.518822,15000.0,MANA,38111625095145107907897956032358039683042,0x46b7baea7b54938722b6cf6baf010b23ea95dd7,0xa01424b7540adbb792375dcf97b733a5d68ad34,0xd1b6f35cbd2b1d5a9ad69fb20e01d78b5b73327a0c21b613437c6a37b6e8d0f,True
2021-01-06 00:00:00+00:00,DCL MarketPlace,Decentraland,1870.98,11500.0,MANA,12250165209153784684681485867543655612518,0xe78de5a93d5208b68f480d1f1da1c635655785f,0x225189a1ea477a62fe4d27cf30aca8b9168441d,0x90d1f2cc8489b3183c3667ecb766f25e40e78cd9453ce96aa0eedbc256d4d71,True
2021-01-06 00:00:00+00:00,DCL MarketPlace,Decentraland,1403.235,11900.0,MANA,115792089237316195423570985008687907837616995787277394720142352066051791913037,0x8445165437cb63affb2f143378d0ec63e024958,0x8a7086e141c86411e617bf308f8f46b09c9ecfc,0x4cb228455f27efc438de978560382db82e66f7901cf7381ec9c900aa72c8d89,True
2021-01-06 00:00:00+00:00,opensea,Decentraland,2372.94,2.0,WETH,10208471007628153903901238222953046343598,0xc36f2ba982293fa3b5c8f11ce5ec1113b6e1fa77,0x141abf9772b0887db1b5e3fc959594732b16bc3c,0x926f7bc9cdf66402bdb50e62ed979c1e32c859f46918633ae42747de356da9ca,True
2021-01-07 00:00:00+00:00,DCL MarketPlace,Decentraland,1015.113095,9600.0,MANA,49340943203536077202189318077606390661102,0x46b7baea7b54938722b6cf6baf010b23ea95dd7,0xf4a5df4fed739353814383bcbd03afbab4d5583,0x5a5c0f3238bc8084ce4ae0fa94cff73a913f75cfaeaa093a3cdf94f7eb18f33,True
2021-01-07 00:00:00+00:00,DCL MarketPlace,Decentraland,1903.575,15999.0,MANA,8166776806102523123120990578362437075030,0x407d312de962e9fb740026ca3dceda5adafaaf3,0x3a410d310b4bad69aefc98342f8955c3e5a0308,0x02ffb3a449140326db135bd18c24be5f63a179730fada88ebd1457ea74254c7,True
2021-01-07 00:00:00+00:00,DCL MarketPlace,Decentraland,2017.7895,13500.0,MANA,115792089237316195423570985008687907836936431053435517793215602851188255490067,0xe77ab4076b9770c05ff7dc65f8b1b27a47b68a1,0x8788ecef7ba041ae5b420cb528a0ffa89d6652c,0x97bf2f7143ce6be2c698ea6b18d7b2869635e867bafb63dd01ff006ff98cec0,True
2021-01-07 00:00:00+00:00,DCL MarketPlace,Decentraland,5710.724999999999,6799.0,MANA,115792089237316195423570985008687907836596148686514579329752228243756487278611,0x2c19003cc2d7d5508d49c260c5ca6b76e561b9f,0x8788ecef7ba041ae5b420cb528a0ffa89d6652c,0xd2961ecf778c98db0bf335fed36afb82e2204c0040a220a9694c926a0d793cb,True
2021-01-07 00:00:00+00:00,DCL MarketPlace,Decentraland,1268.923095,13000.0,MANA,19055812547572553953948978016179019841529,0xccf3ebd08eb9d979c985f8857454ef7bbf56487,0x7dda2cff9073b600ea8a41ad339fa0c60844d38,0x2c5b42c4d684fb446852f0658c3ca2237e4854d5712019f60d476ce61c3face,True
2021-01-08 00:00:00+00:00,DCL MarketPlace,Decentraland,1420.447155,8888.0,MANA,13271012309916600075071609689838960246909,0x46b7baea7b54938722b6cf6baf010b23ea95dd7,0x378ff65cb9e9b83b86aa2534c9991e5b28f1ec9,0xb090c72900e0cb9db7a99fb39dfb83ae4ebb9352f592aedfca714ff287ad5b2,True
2021-01-08 00:00:00+00:00,DCL MarketPlace,Decentraland,1420.447155,9999.0,MANA,13271012309916600075071609689838960246908,0x46b7baea7b54938722b6cf6baf010b23ea95dd7,0x378ff65cb9e9b83b86aa2534c9991e5b28f1ec9,0x2d00e22da964326bf95e08fa4f3aa7e517265a16e9a0655967f9e06d979a896,True
2021-01-08 00:00:00+00:00,DCL MarketPlace,Decentraland,4340.7375,10999.0,MANA,115792089237316195423570985008687907836936431053435517793215602851188255490116,0x463263bacc24813c4820031b2438174678a2c48,0x201a61a23262c6392670ad378643d205fbb2de2,0x8e0e3a4f6c1a9e7d2c0044be6a0ff0c6454c0e253300506e8e37318192fabdf,True
2021-01-08 00:00:00+00:00,opensea,Decentraland,4715.451,3.9,WETH,115792089237316195423570985008687907838637842888040210110532475888347096547367,0x486465cc74d003fac6085b176586cf4d0b9e643a,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,0xb402b5d17ef65f0e3dbddcb3699b22dfd131a4a5ce537cd121238b858983de76,True
2021-01-09 00:00:00+00:00,DCL MarketPlace,Decentraland,1160.463062,9900.0,MANA,49340943203536077202189318077606390661105,0xbf4016da8d02e85a098a37cbe4c740487b6e3aa,0xa6d461497a2ec4b30f12c623c49312a0d0283ec,0xd775ff11357c4c146af829bd86981b25e27d5b4ee4630a96845e1270d913b43,True
2021-01-09 00:00:00+00:00,opensea,Decentraland,1232.28,1.0,WETH,115792089237316195423570985008687907839998972355723963964385974318074169393091,0x11cbfcfe1613a02e33e78ce450fe5c51cae775b3,0xdc6953c238c4ffff57d7c16ac32bc716f7074e3a,0x520c5c3bfc1bdf46bed0f50081b9412a1d337e2a61369072a670c84f20d589f2,True
2021-01-09 00:00:00+00:00,DCL MarketPlace,Decentraland,1635.32692,9900.0,MANA,115792089237316195423570985008687907852589419931798687112530834793049593216919,0x52d4d46e28dc72b1cef2cb8eb5ec75dd12bc4df,0xcfa836ba6aed57164a5e6ddebc631f41019f0aa,0x099785ef346aa1ee4cd037501269c0629244bff0169c919824b06cf88b1ebce,True
2021-01-09 00:00:00+00:00,DCL MarketPlace,Decentraland,1160.592031,11000.0,MANA,50702072671219831056042816507333463506919,0x46b7baea7b54938722b6cf6baf010b23ea95dd7,0xa6d461497a2ec4b30f12c623c49312a0d0283ec,0xc4e58c1fd139ed27e6261a1a64e7a437a77a939c3c5e623886ca37b9c2e002c,True
